virus,reference,hi
EPI2079831,EPI1868486,0.0
EPI2079831,EPI1868485,0.0
EPI2079831,EPI609665,0.828282828282827
EPI2079831,EPI2079831,0.0
EPI2079831,EPI606514,0.0
EPI2079831,EPI331093,0.0
EPI2079831,EPI301762,0.0
EPI2079831,EPI318272,0.0
EPI2079831,EPI319241,0.5735294117647047
EPI2079831,EPI326342,0.5735294117647047
EPI2079831,EPI309763,0.5735294117647047
EPI2079831,EPI302233,0.5735294117647047
EPI2079831,EPI302327,0.5735294117647047
EPI2079831,EPI341681,0.0
EPI2079831,EPI302339,0.0
EPI2079831,EPI427101,0.0
EPI2079831,EPI319200,0.0
EPI2079831,EPI319235,0.0
EPI2079831,EPI342281,0.0
EPI2079831,EPI342283,0.0
EPI2079831,EPI319754,0.0
EPI2079831,EPI302188,0.0
EPI2079831,EPI2092421,0.0
EPI606514,EPI1868486,0.7908396946564888
EPI606514,EPI1868485,0.7908396946564888
EPI606514,EPI609665,3.539393939393941
EPI606514,EPI2079831,3.200000000000001
EPI606514,EPI606514,0.0
EPI606514,EPI331093,0.0
EPI606514,EPI301762,0.0
EPI606514,EPI318272,0.0
EPI606514,EPI319241,0.9485294117647065
EPI606514,EPI326342,0.9485294117647065
EPI606514,EPI309763,0.9485294117647065
EPI606514,EPI302233,0.9485294117647065
EPI606514,EPI302327,0.9485294117647065
EPI606514,EPI319200,4.999999999999999
EPI606514,EPI319235,2.0
EPI606514,EPI342281,2.0
EPI606514,EPI342283,2.0
EPI606514,EPI319754,0.0
EPI606514,EPI302188,0.0
EPI606514,EPI2092421,0.0
EPI331093,EPI1868486,2.539324543141338
EPI331093,EPI1868485,2.539324543141338
EPI331093,EPI609665,5.0151515151515165
EPI331093,EPI2079831,4.4523809523809526
EPI331093,EPI606514,1.2523809523809524
EPI331093,EPI331093,0.4666666666666671
EPI331093,EPI301762,0.43434343434343486
EPI331093,EPI318272,0.43434343434343486
EPI331093,EPI319241,3.3083778966131914
EPI331093,EPI326342,3.3083778966131914
EPI331093,EPI309763,3.3083778966131914
EPI331093,EPI302233,3.3083778966131914
EPI331093,EPI302327,3.3083778966131914
EPI331093,EPI309737,0.6000000000000014
EPI331093,EPI359982,0.6000000000000014
EPI331093,EPI359992,0.6000000000000014
EPI331093,EPI341343,0.6000000000000014
EPI331093,EPI346607,1.0
EPI331093,EPI332697,1.2666666666666668
EPI331093,EPI349106,0.03154701718908193
EPI331093,EPI2420071,0.03154701718908193
EPI331093,EPI349103,0.03154701718908193
EPI331093,EPI1868550,0.03154701718908193
EPI331093,EPI353906,0.03154701718908193
EPI331093,EPI360950,0.0
EPI331093,EPI377328,2.0
EPI331093,EPI319754,0.0
EPI331093,EPI302188,0.0
EPI331093,EPI2092421,0.0
EPI301762,EPI1868486,3.1762970233974
EPI301762,EPI1868485,3.1762970233974
EPI318272,EPI1868486,3.6236755155520113
EPI318272,EPI1868485,3.6236755155520113
EPI301762,EPI609665,4.807303807303809
EPI318272,EPI609665,5.454545454545456
EPI301762,EPI2079831,5.095238095238095
EPI318272,EPI2079831,5.666666666666666
EPI301762,EPI606514,1.507482993197279
EPI318272,EPI606514,2.038095238095238
EPI301762,EPI331093,1.197278911564627
EPI318272,EPI331093,1.1190476190476195
EPI301762,EPI301762,0.2571872571872576
EPI301762,EPI318272,0.24406224406224447
EPI318272,EPI301762,0.5
EPI318272,EPI318272,0.0
EPI301762,EPI319241,3.386790214270461
EPI301762,EPI326342,3.386790214270461
EPI301762,EPI309763,3.386790214270461
EPI301762,EPI302233,3.386790214270461
EPI301762,EPI302327,3.386790214270461
EPI318272,EPI319241,3.9877085162423187
EPI318272,EPI326342,3.9877085162423187
EPI318272,EPI309763,3.9877085162423187
EPI318272,EPI302233,3.9877085162423187
EPI318272,EPI302327,3.9877085162423187
EPI301762,EPI309737,1.9600000000000015
EPI301762,EPI359982,1.9600000000000015
EPI301762,EPI359992,1.9600000000000015
EPI301762,EPI341343,1.9600000000000015
EPI318272,EPI309737,2.600000000000003
EPI318272,EPI359982,2.600000000000003
EPI318272,EPI359992,2.600000000000003
EPI318272,EPI341343,2.600000000000003
EPI301762,EPI346607,1.625
EPI318272,EPI346607,2.0
EPI301762,EPI332697,1.481818181818183
EPI318272,EPI332697,2.45
EPI301762,EPI349106,1.4747900964160727
EPI301762,EPI2420071,1.4747900964160727
EPI301762,EPI349103,1.4747900964160727
EPI301762,EPI1868550,1.4747900964160727
EPI301762,EPI353906,1.4747900964160727
EPI318272,EPI349106,1.231089351285192
EPI318272,EPI2420071,1.231089351285192
EPI318272,EPI349103,1.231089351285192
EPI318272,EPI1868550,1.231089351285192
EPI318272,EPI353906,1.231089351285192
EPI301762,EPI360950,0.8749999999999997
EPI318272,EPI360950,0.9749999999999979
EPI301762,EPI377328,3.5
EPI318272,EPI377328,3.5
EPI301762,EPI358028,2.344114528101803
EPI301762,EPI391247,2.344114528101804
EPI301762,EPI1868551,2.344114528101803
EPI318272,EPI358028,2.7746553552492053
EPI318272,EPI391247,2.7746553552492053
EPI318272,EPI1868551,2.7746553552492053
EPI301762,EPI397362,4.202226345083489
EPI301762,EPI397072,4.202226345083489
EPI318272,EPI397362,3.688311688311689
EPI318272,EPI397072,3.688311688311689
EPI301762,EPI395035,2.0
EPI318272,EPI395035,3.0
EPI301762,EPI395041,0.5
EPI301762,EPI2120463,0.5
EPI318272,EPI395041,1.0
EPI318272,EPI2120463,1.0
EPI301762,EPI460558,0.40289855072463965
EPI318272,EPI460558,0.40289855072463965
EPI301762,EPI572205,0.37037037037037085
EPI318272,EPI572205,0.37037037037037085
EPI301762,EPI426061,2.481114551083593
EPI318272,EPI426061,2.481114551083593
EPI301762,EPI507043,2.8195187165775413
EPI301762,EPI407150,2.8195187165775413
EPI318272,EPI507043,2.8195187165775413
EPI318272,EPI407150,2.8195187165775413
EPI301762,EPI490093,0.0
EPI301762,EPI436261,0.0
EPI301762,EPI404965,0.0
EPI301762,EPI476783,0.0
EPI318272,EPI490093,0.0
EPI318272,EPI436261,0.0
EPI318272,EPI404965,0.0
EPI318272,EPI476783,0.0
EPI301762,EPI404938,1.0
EPI318272,EPI404938,1.0
EPI301762,EPI319754,0.0
EPI301762,EPI302188,0.0
EPI318272,EPI319754,0.0
EPI318272,EPI302188,0.0
EPI301762,EPI2092421,0.75
EPI318272,EPI2092421,1.0
EPI319241,EPI1868486,0.6983023812236517
EPI319241,EPI1868485,0.6983023812236517
EPI326342,EPI1868486,0.6983023812236517
EPI326342,EPI1868485,0.6983023812236517
EPI309763,EPI1868486,0.6983023812236517
EPI309763,EPI1868485,0.6983023812236517
EPI302233,EPI1868486,2.431856831196014
EPI302233,EPI1868485,2.431856831196014
EPI302327,EPI1868486,0.6983023812236517
EPI302327,EPI1868485,0.6983023812236517
EPI319241,EPI609665,1.1818181818181799
EPI326342,EPI609665,1.1818181818181799
EPI309763,EPI609665,1.1818181818181799
EPI302233,EPI609665,3.713804713804715
EPI302327,EPI609665,1.1818181818181799
EPI319241,EPI2079831,1.095238095238095
EPI326342,EPI2079831,1.095238095238095
EPI309763,EPI2079831,1.095238095238095
EPI302233,EPI2079831,4.470238095238095
EPI302327,EPI2079831,1.095238095238095
EPI319241,EPI606514,0.0
EPI326342,EPI606514,0.0
EPI309763,EPI606514,0.0
EPI302233,EPI606514,0.8500000000000001
EPI302327,EPI606514,0.0
EPI319241,EPI331093,0.0
EPI326342,EPI331093,0.0
EPI309763,EPI331093,0.0
EPI302233,EPI331093,0.7564102564102572
EPI302327,EPI331093,0.0
EPI319241,EPI301762,0.0
EPI319241,EPI318272,0.0
EPI326342,EPI301762,0.0
EPI326342,EPI318272,0.0
EPI309763,EPI301762,0.0
EPI309763,EPI318272,0.0
EPI302233,EPI301762,0.3030303030303036
EPI302233,EPI318272,0.31515151515151574
EPI302327,EPI301762,0.0
EPI302327,EPI318272,0.0
EPI319241,EPI319241,0.0
EPI319241,EPI326342,0.0
EPI319241,EPI309763,0.0
EPI319241,EPI302233,0.0
EPI319241,EPI302327,0.0
EPI326342,EPI319241,0.0
EPI326342,EPI326342,0.0
EPI326342,EPI309763,0.0
EPI326342,EPI302233,0.0
EPI326342,EPI302327,0.0
EPI309763,EPI319241,0.0
EPI309763,EPI326342,0.0
EPI309763,EPI309763,0.0
EPI309763,EPI302233,0.0
EPI309763,EPI302327,0.0
EPI302233,EPI319241,2.214932126696833
EPI302233,EPI326342,2.214932126696833
EPI302233,EPI309763,2.214932126696833
EPI302233,EPI302233,2.214932126696833
EPI302233,EPI302327,2.214932126696833
EPI302327,EPI319241,0.0
EPI302327,EPI326342,0.0
EPI302327,EPI309763,0.0
EPI302327,EPI302233,0.0
EPI302327,EPI302327,0.0
EPI319241,EPI309737,0.0
EPI319241,EPI359982,0.0
EPI319241,EPI359992,0.0
EPI319241,EPI341343,0.0
EPI326342,EPI309737,0.0
EPI326342,EPI359982,0.0
EPI326342,EPI359992,0.0
EPI326342,EPI341343,0.0
EPI309763,EPI309737,0.0
EPI309763,EPI359982,0.0
EPI309763,EPI359992,0.0
EPI309763,EPI341343,0.0
EPI302233,EPI309737,0.8571428571428588
EPI302233,EPI359982,0.8571428571428588
EPI302233,EPI359992,0.8571428571428588
EPI302233,EPI341343,0.8571428571428586
EPI302327,EPI309737,0.0
EPI302327,EPI359982,0.0
EPI302327,EPI359992,0.0
EPI302327,EPI341343,0.0
EPI319241,EPI346607,0.0
EPI326342,EPI346607,0.0
EPI309763,EPI346607,0.0
EPI302233,EPI346607,0.4
EPI302327,EPI346607,0.0
EPI319241,EPI332697,0.5
EPI326342,EPI332697,0.5
EPI309763,EPI332697,0.5
EPI302233,EPI332697,0.7066666666666677
EPI302327,EPI332697,0.5
EPI319241,EPI349106,0.0
EPI319241,EPI2420071,0.0
EPI319241,EPI349103,0.0
EPI319241,EPI1868550,0.0
EPI319241,EPI353906,0.0
EPI326342,EPI349106,0.0
EPI326342,EPI2420071,0.0
EPI326342,EPI349103,0.0
EPI326342,EPI1868550,0.0
EPI326342,EPI353906,0.0
EPI309763,EPI349106,0.0
EPI309763,EPI2420071,0.0
EPI309763,EPI349103,0.0
EPI309763,EPI1868550,0.0
EPI309763,EPI353906,0.0
EPI302233,EPI349106,1.2002906976744203
EPI302233,EPI2420071,1.2002906976744203
EPI302233,EPI349103,1.2002906976744203
EPI302233,EPI1868550,1.2002906976744203
EPI302233,EPI353906,1.2002906976744203
EPI302327,EPI349106,0.0
EPI302327,EPI2420071,0.0
EPI302327,EPI349103,0.0
EPI302327,EPI1868550,0.0
EPI302327,EPI353906,0.0
EPI319241,EPI360950,0.0
EPI326342,EPI360950,0.0
EPI309763,EPI360950,0.0
EPI302233,EPI360950,0.3062499999999999
EPI302327,EPI360950,0.0
EPI319241,EPI377328,1.0
EPI326342,EPI377328,1.0
EPI309763,EPI377328,1.0
EPI302233,EPI377328,1.0
EPI302327,EPI377328,1.0
EPI319241,EPI358028,0.20943796394485759
EPI319241,EPI391247,0.20943796394485759
EPI319241,EPI1868551,0.20943796394485759
EPI326342,EPI358028,0.20943796394485759
EPI326342,EPI391247,0.20943796394485759
EPI326342,EPI1868551,0.20943796394485759
EPI309763,EPI358028,0.20943796394485759
EPI309763,EPI391247,0.20943796394485759
EPI309763,EPI1868551,0.20943796394485759
EPI302233,EPI358028,0.20943796394485759
EPI302233,EPI391247,0.20943796394485759
EPI302233,EPI1868551,0.20943796394485759
EPI302327,EPI358028,0.20943796394485759
EPI302327,EPI391247,0.20943796394485759
EPI302327,EPI1868551,0.20943796394485759
EPI319241,EPI397362,1.783549783549784
EPI319241,EPI397072,1.783549783549784
EPI326342,EPI397362,1.783549783549784
EPI326342,EPI397072,1.783549783549784
EPI309763,EPI397362,1.783549783549784
EPI309763,EPI397072,1.783549783549784
EPI302233,EPI397362,1.783549783549784
EPI302233,EPI397072,1.783549783549784
EPI302327,EPI397362,1.783549783549784
EPI302327,EPI397072,1.783549783549784
EPI319241,EPI395035,1.0
EPI326342,EPI395035,1.0
EPI309763,EPI395035,1.0
EPI302233,EPI395035,1.0
EPI302327,EPI395035,1.0
EPI319241,EPI395041,0.0
EPI319241,EPI2120463,0.0
EPI326342,EPI395041,0.0
EPI326342,EPI2120463,0.0
EPI309763,EPI395041,0.0
EPI309763,EPI2120463,0.0
EPI302233,EPI395041,0.0
EPI302233,EPI2120463,0.0
EPI302327,EPI395041,0.0
EPI302327,EPI2120463,0.0
EPI319241,EPI460558,0.0
EPI326342,EPI460558,0.0
EPI309763,EPI460558,0.0
EPI302233,EPI460558,0.0
EPI302327,EPI460558,0.0
EPI319241,EPI572205,0.14814814814814822
EPI326342,EPI572205,0.14814814814814822
EPI309763,EPI572205,0.14814814814814822
EPI302233,EPI572205,0.14814814814814822
EPI302327,EPI572205,0.14814814814814822
EPI319241,EPI426061,0.7969040247678016
EPI326342,EPI426061,0.7969040247678016
EPI309763,EPI426061,0.7969040247678016
EPI302233,EPI426061,0.7969040247678016
EPI302327,EPI426061,0.7969040247678016
EPI319241,EPI507043,0.8783422459893062
EPI319241,EPI407150,0.8783422459893062
EPI326342,EPI507043,0.8783422459893062
EPI326342,EPI407150,0.8783422459893062
EPI309763,EPI507043,0.8783422459893062
EPI309763,EPI407150,0.8783422459893062
EPI302233,EPI507043,0.8783422459893062
EPI302233,EPI407150,0.8783422459893062
EPI302327,EPI507043,0.8783422459893062
EPI302327,EPI407150,0.8783422459893062
EPI319241,EPI490093,0.0
EPI319241,EPI436261,0.0
EPI319241,EPI404965,0.0
EPI319241,EPI476783,0.0
EPI326342,EPI490093,0.0
EPI326342,EPI436261,0.0
EPI326342,EPI404965,0.0
EPI326342,EPI476783,0.0
EPI309763,EPI490093,0.0
EPI309763,EPI436261,0.0
EPI309763,EPI404965,0.0
EPI309763,EPI476783,0.0
EPI302233,EPI490093,0.0
EPI302233,EPI436261,0.0
EPI302233,EPI404965,0.0
EPI302233,EPI476783,0.0
EPI302327,EPI490093,0.0
EPI302327,EPI436261,0.0
EPI302327,EPI404965,0.0
EPI302327,EPI476783,0.0
EPI319241,EPI404938,0.0
EPI326342,EPI404938,0.0
EPI309763,EPI404938,0.0
EPI302233,EPI404938,0.0
EPI302327,EPI404938,0.0
EPI319241,EPI319200,0.0
EPI326342,EPI319200,0.0
EPI309763,EPI319200,0.0
EPI302233,EPI319200,1.5
EPI302327,EPI319200,0.0
EPI319241,EPI319235,0.0
EPI319241,EPI342281,0.0
EPI319241,EPI342283,0.0
EPI326342,EPI319235,0.0
EPI326342,EPI342281,0.0
EPI326342,EPI342283,0.0
EPI309763,EPI319235,0.0
EPI309763,EPI342281,0.0
EPI309763,EPI342283,0.0
EPI302233,EPI319235,1.0
EPI302233,EPI342281,1.0
EPI302233,EPI342283,1.0
EPI302327,EPI319235,0.0
EPI302327,EPI342281,0.0
EPI302327,EPI342283,0.0
EPI319241,EPI319754,0.0
EPI319241,EPI302188,0.0
EPI326342,EPI319754,0.0
EPI326342,EPI302188,0.0
EPI309763,EPI319754,0.0
EPI309763,EPI302188,0.0
EPI302233,EPI319754,0.0
EPI302233,EPI302188,0.0
EPI302327,EPI319754,0.0
EPI302327,EPI302188,0.0
EPI319241,EPI2092421,0.0
EPI326342,EPI2092421,0.0
EPI309763,EPI2092421,0.0
EPI302233,EPI2092421,0.0
EPI302327,EPI2092421,0.0
EPI348478,EPI1868486,2.190839694656489
EPI348478,EPI1868485,2.190839694656489
EPI348478,EPI609665,3.2727272727272734
EPI348478,EPI2079831,4.666666666666666
EPI348478,EPI606514,0.4666666666666668
EPI348478,EPI331093,0.0
EPI348478,EPI301762,0.15151515151515227
EPI348478,EPI318272,0.15151515151515227
EPI348478,EPI319241,1.8235294117647065
EPI348478,EPI326342,1.8235294117647065
EPI348478,EPI309763,1.8235294117647065
EPI348478,EPI302233,1.8235294117647065
EPI348478,EPI302327,1.8235294117647065
EPI494677,EPI1868486,3.346012108449593
EPI494677,EPI1868485,3.346012108449593
EPI494677,EPI609665,4.876175548589342
EPI494677,EPI2079831,5.13095238095238
EPI494677,EPI606514,1.9309523809523814
EPI494677,EPI331093,1.3777777777777789
EPI494677,EPI301762,0.5694879832810875
EPI494677,EPI318272,0.5694879832810875
EPI494677,EPI319241,3.564908722109534
EPI494677,EPI326342,3.564908722109534
EPI494677,EPI309763,3.564908722109534
EPI494677,EPI302233,3.564908722109534
EPI494677,EPI302327,3.564908722109534
EPI301448,EPI1868486,2.2741730279898227
EPI301448,EPI1868485,2.2741730279898227
EPI301448,EPI609665,4.18939393939394
EPI301448,EPI2079831,4.499999999999999
EPI301448,EPI606514,0.6333333333333334
EPI301448,EPI331093,0.16666666666666696
EPI301448,EPI301762,0.10101010101010151
EPI301448,EPI318272,0.10101010101010151
EPI301448,EPI319241,2.0735294117647065
EPI301448,EPI326342,2.0735294117647065
EPI301448,EPI309763,2.0735294117647065
EPI301448,EPI302233,2.0735294117647065
EPI301448,EPI302327,2.0735294117647065
EPI331083,EPI1868486,2.315839694656489
EPI331083,EPI1868485,2.315839694656489
EPI355990,EPI1868486,4.190839694656488
EPI355990,EPI1868485,4.190839694656488
EPI353514,EPI1868486,4.190839694656488
EPI353514,EPI1868485,4.190839694656488
EPI331083,EPI609665,4.522727272727273
EPI355990,EPI609665,6.2727272727272725
EPI353514,EPI609665,6.2727272727272725
EPI331083,EPI2079831,5.0666666666666655
EPI355990,EPI2079831,6.666666666666665
EPI353514,EPI2079831,6.666666666666665
EPI331083,EPI606514,1.3733333333333335
EPI355990,EPI606514,2.466666666666667
EPI353514,EPI606514,2.466666666666667
EPI331083,EPI331093,0.7619047619047628
EPI355990,EPI331093,1.6666666666666679
EPI353514,EPI331093,1.6666666666666679
EPI331083,EPI301762,0.350649350649351
EPI331083,EPI318272,0.350649350649351
EPI355990,EPI301762,1.1515151515151523
EPI355990,EPI318272,1.1515151515151523
EPI353514,EPI301762,1.1515151515151523
EPI353514,EPI318272,1.1515151515151523
EPI331083,EPI319241,2.394957983193278
EPI331083,EPI326342,2.394957983193278
EPI331083,EPI309763,2.394957983193278
EPI331083,EPI302233,2.394957983193278
EPI331083,EPI302327,2.394957983193278
EPI355990,EPI319241,3.8235294117647065
EPI355990,EPI326342,3.8235294117647065
EPI355990,EPI309763,3.8235294117647065
EPI355990,EPI302233,3.8235294117647065
EPI355990,EPI302327,3.8235294117647065
EPI353514,EPI319241,3.8235294117647065
EPI353514,EPI326342,3.8235294117647065
EPI353514,EPI309763,3.8235294117647065
EPI353514,EPI302233,3.8235294117647065
EPI353514,EPI302327,3.8235294117647065
EPI346276,EPI1868486,3.190839694656489
EPI346276,EPI1868485,3.190839694656489
EPI346276,EPI609665,4.272727272727273
EPI346276,EPI2079831,4.666666666666666
EPI346276,EPI606514,1.4666666666666668
EPI346276,EPI331093,0.6666666666666679
EPI346276,EPI301762,0.0
EPI346276,EPI318272,0.0
EPI346276,EPI319241,2.8235294117647065
EPI346276,EPI326342,2.8235294117647065
EPI346276,EPI309763,2.8235294117647065
EPI346276,EPI302233,2.8235294117647065
EPI346276,EPI302327,2.8235294117647065
EPI352691,EPI1868486,2.065839694656489
EPI352691,EPI1868485,2.065839694656489
EPI352691,EPI609665,3.3977272727272734
EPI352691,EPI2079831,4.416666666666666
