virus,reference,hi
EPI1868486,EPI1868486,0.0
EPI1868486,EPI1868485,0.0
EPI1868485,EPI1868486,0.0
EPI1868485,EPI1868485,0.0
EPI1868486,EPI609665,5.036363636363636
EPI1868485,EPI609665,5.036363636363636
EPI1868486,EPI2079831,2.1111111111111107
EPI1868485,EPI2079831,2.1111111111111107
EPI1868486,EPI606514,0.3333333333333304
EPI1868485,EPI606514,0.3333333333333304
EPI1868486,EPI331093,0.3333333333333339
EPI1868485,EPI331093,0.3333333333333339
EPI1868486,EPI301762,1.0681818181818183
EPI1868486,EPI318272,1.1363636363636367
EPI1868485,EPI301762,1.0681818181818183
EPI1868485,EPI318272,1.1363636363636367
EPI1868486,EPI319241,3.602941176470588
EPI1868486,EPI326342,3.602941176470588
EPI1868486,EPI309763,3.602941176470588
EPI1868486,EPI302233,3.602941176470588
EPI1868486,EPI302327,3.602941176470588
EPI1868485,EPI319241,3.602941176470588
EPI1868485,EPI326342,3.602941176470588
EPI1868485,EPI309763,3.602941176470588
EPI1868485,EPI302233,3.602941176470588
EPI1868485,EPI302327,3.602941176470588
EPI1868486,EPI309737,2.8000000000000016
EPI1868486,EPI359982,2.8000000000000016
EPI1868486,EPI359992,2.8000000000000016
EPI1868486,EPI341343,2.8000000000000016
EPI1868485,EPI309737,2.8000000000000016
EPI1868485,EPI359982,2.8000000000000016
EPI1868485,EPI359992,2.8000000000000016
EPI1868485,EPI341343,2.8000000000000016
EPI1868486,EPI346607,2.0
EPI1868485,EPI346607,2.0
EPI1868486,EPI332697,1.5999999999999996
EPI1868485,EPI332697,1.5999999999999996
EPI1868486,EPI349106,1.4985357450473744
EPI1868486,EPI2420071,1.4985357450473744
EPI1868486,EPI349103,1.4985357450473744
EPI1868486,EPI1868550,1.4985357450473744
EPI1868486,EPI353906,1.4985357450473744
EPI1868485,EPI349106,1.4985357450473744
EPI1868485,EPI2420071,1.4985357450473744
EPI1868485,EPI349103,1.4985357450473744
EPI1868485,EPI1868550,1.4985357450473744
EPI1868485,EPI353906,1.4985357450473744
EPI1868486,EPI360950,1.299999999999999
EPI1868485,EPI360950,1.299999999999999
EPI1868486,EPI377328,2.0
EPI1868485,EPI377328,2.0
EPI1868486,EPI358028,3.464463676894836
EPI1868486,EPI391247,3.4644636768948356
EPI1868486,EPI1868551,3.4644636768948356
EPI1868485,EPI358028,3.464463676894836
EPI1868485,EPI391247,3.4644636768948356
EPI1868485,EPI1868551,3.4644636768948356
EPI1868486,EPI397362,5.164502164502166
EPI1868486,EPI397072,5.164502164502166
EPI1868485,EPI397362,5.164502164502166
EPI1868485,EPI397072,5.164502164502166
EPI1868486,EPI395035,3.0
EPI1868485,EPI395035,3.0
EPI1868486,EPI395041,1.0
EPI1868486,EPI2120463,1.0
EPI1868485,EPI395041,1.0
EPI1868485,EPI2120463,1.0
EPI1868486,EPI341681,0.0
EPI1868486,EPI302339,0.0
EPI1868486,EPI427101,0.0
EPI1868485,EPI341681,0.0
EPI1868485,EPI302339,0.0
EPI1868485,EPI427101,0.0
EPI1868486,EPI460558,2.7190476190476236
EPI1868485,EPI460558,2.7190476190476236
EPI1868486,EPI426061,3.1039215686274524
EPI1868485,EPI426061,3.1039215686274524
EPI1868486,EPI508254,2.0694192377495453
EPI1868486,EPI515296,2.0694192377495453
EPI1868486,EPI530677,2.0694192377495453
EPI1868486,EPI530679,2.0694192377495453
EPI1868485,EPI508254,2.0694192377495453
EPI1868485,EPI515296,2.0694192377495453
EPI1868485,EPI530677,2.0694192377495453
EPI1868485,EPI530679,2.0694192377495453
EPI1868486,EPI586293,2.054339368317862
EPI1868486,EPI540526,1.7055969120485246
EPI1868486,EPI888883,1.7055969120485246
EPI1868486,EPI1868552,1.7055969120485246
EPI1868485,EPI586293,2.054339368317862
EPI1868485,EPI540526,1.7055969120485246
EPI1868485,EPI888883,1.7055969120485246
EPI1868485,EPI1868552,1.7055969120485246
EPI1868486,EPI588704,2.3097345132743357
EPI1868486,EPI550842,2.3097345132743357
EPI1868486,EPI539806,2.3097345132743357
EPI1868486,EPI543726,2.3097345132743357
EPI1868485,EPI588704,2.3097345132743357
EPI1868485,EPI550842,2.3097345132743357
EPI1868485,EPI539806,2.3097345132743357
EPI1868485,EPI543726,2.3097345132743357
EPI1868486,EPI574515,3.55952380952381
EPI1868485,EPI574515,3.55952380952381
EPI1868486,EPI572134,1.9999999999999998
EPI1868486,EPI571782,3.3989637305699474
EPI1868485,EPI572134,1.9999999999999998
EPI1868485,EPI571782,3.3989637305699474
EPI1868486,EPI643118,3.5388601036269423
EPI1868486,EPI1026711,3.5388601036269423
EPI1868485,EPI643118,3.5388601036269423
EPI1868485,EPI1026711,3.5388601036269423
EPI1868486,EPI572205,2.228070175438597
EPI1868485,EPI572205,2.228070175438597
EPI1868486,EPI507043,3.6363636363636385
EPI1868486,EPI407150,3.6363636363636385
EPI1868485,EPI507043,3.6363636363636385
EPI1868485,EPI407150,3.6363636363636385
EPI1868486,EPI490093,2.0
EPI1868486,EPI436261,2.0
EPI1868486,EPI404965,2.0
EPI1868486,EPI476783,2.0
EPI1868485,EPI490093,2.0
EPI1868485,EPI436261,2.0
EPI1868485,EPI404965,2.0
EPI1868485,EPI476783,2.0
EPI1868486,EPI466802,2.962365591397849
EPI1868485,EPI466802,2.962365591397849
EPI1868486,EPI571952,1.9999999999999991
EPI1868485,EPI571952,1.9999999999999991
EPI1868486,EPI544526,2.4999999999999982
EPI1868486,EPI537122,2.4999999999999982
EPI1868486,EPI1506366,2.4999999999999982
EPI1868485,EPI544526,2.4999999999999982
EPI1868485,EPI537122,2.4999999999999982
EPI1868485,EPI1506366,2.4999999999999982
EPI1868486,EPI404938,1.9999999999999991
EPI1868485,EPI404938,1.9999999999999991
EPI1868486,EPI520381,2.882352941176472
EPI1868486,EPI536211,2.882352941176472
EPI1868486,EPI531713,2.882352941176472
EPI1868486,EPI539625,2.882352941176472
EPI1868485,EPI520381,2.882352941176472
EPI1868485,EPI536211,2.882352941176472
EPI1868485,EPI531713,2.882352941176472
EPI1868485,EPI539625,2.882352941176472
EPI1868486,EPI1119709,1.9999999999999991
EPI1868485,EPI1119709,1.9999999999999991
EPI1868486,EPI539691,0.4999999999999991
EPI1868486,EPI539689,0.4999999999999991
EPI1868485,EPI539691,0.4999999999999991
EPI1868485,EPI539689,0.4999999999999991
EPI1868486,EPI1090050,2.0
EPI1868485,EPI1090050,2.0
EPI1868486,EPI319200,0.0
EPI1868485,EPI319200,0.0
EPI1868486,EPI319235,0.0
EPI1868486,EPI342281,0.0
EPI1868486,EPI342283,0.0
EPI1868485,EPI319235,0.0
EPI1868485,EPI342281,0.0
EPI1868485,EPI342283,0.0
EPI1868486,EPI319754,0.0
EPI1868486,EPI302188,0.0
EPI1868485,EPI319754,0.0
EPI1868485,EPI302188,0.0
EPI1868486,EPI2092421,0.0
EPI1868485,EPI2092421,0.0
EPI1868486,EPI588553,4.156249999999999
EPI1868486,EPI589699,4.156249999999999
EPI1868485,EPI588553,4.156249999999999
EPI1868485,EPI589699,4.156249999999999
EPI609665,EPI1868486,0.0
EPI609665,EPI1868485,0.0
EPI609665,EPI609665,0.0
EPI609665,EPI2079831,0.27777777777777857
EPI609665,EPI606514,0.0
EPI609665,EPI331093,0.0
EPI609665,EPI301762,0.0
EPI609665,EPI318272,0.0
EPI609665,EPI319241,0.0
EPI609665,EPI326342,0.0
EPI609665,EPI309763,0.0
EPI609665,EPI302233,0.0
EPI609665,EPI302327,0.0
EPI609665,EPI309737,0.0
EPI609665,EPI359982,0.0
EPI609665,EPI359992,0.0
EPI609665,EPI341343,0.0
EPI609665,EPI346607,0.0
EPI609665,EPI332697,0.0
EPI609665,EPI349106,0.0
EPI609665,EPI2420071,0.0
EPI609665,EPI349103,0.0
EPI609665,EPI1868550,0.0
EPI609665,EPI353906,0.0
EPI609665,EPI360950,0.0
EPI609665,EPI377328,0.0
EPI609665,EPI358028,0.0
EPI609665,EPI391247,0.0
EPI609665,EPI1868551,0.0
EPI609665,EPI397362,0.35497835497835517
EPI609665,EPI397072,0.35497835497835517
EPI609665,EPI395035,0.0
EPI609665,EPI395041,0.0
EPI609665,EPI2120463,0.0
EPI609665,EPI341681,0.0
EPI609665,EPI302339,0.0
EPI609665,EPI427101,0.0
EPI609665,EPI404938,0.0
EPI609665,EPI319200,0.0
EPI609665,EPI319235,0.0
EPI609665,EPI342281,0.0
EPI609665,EPI342283,0.0
EPI609665,EPI319754,0.0
EPI609665,EPI302188,0.0
EPI609665,EPI2092421,0.0
